Validation_Set,Threshold,Strategy,Net_Benefit
MIMIC-IV temporal,0.71,Treat all,-1.32365145228216
MIMIC-IV temporal,0.71,Treat none,0
MIMIC-IV temporal,0.72,XGBoost,0.0412566686425607
MIMIC-IV temporal,0.72,Treat all,-1.40663900414938
MIMIC-IV temporal,0.72,Treat none,0
MIMIC-IV temporal,0.73,XGBoost,0.0395573997233748
MIMIC-IV temporal,0.73,Treat all,-1.49577378208084
MIMIC-IV temporal,0.73,Treat none,0
MIMIC-IV temporal,0.74,XGBoost,0.0382381104372805
MIMIC-IV temporal,0.74,Treat all,-1.59176508139164
MIMIC-IV temporal,0.74,Treat none,0
MIMIC-IV temporal,0.75,XGBoost,0.0356846473029045
MIMIC-IV temporal,0.75,Treat all,-1.6954356846473
MIMIC-IV temporal,0.75,Treat none,0
MIMIC-IV temporal,0.76,XGBoost,0.0334716459197787
MIMIC-IV temporal,0.76,Treat all,-1.80774550484094
MIMIC-IV temporal,0.76,Treat none,0
MIMIC-IV temporal,0.77,XGBoost,0.0306693126465813
MIMIC-IV temporal,0.77,Treat all,-1.92982139635576
MIMIC-IV temporal,0.77,Treat none,0
MIMIC-IV temporal,0.78,XGBoost,0.0289701999245568
MIMIC-IV temporal,0.78,Treat all,-2.06299509619012
MIMIC-IV temporal,0.78,Treat none,0
MIMIC-IV temporal,0.79,XGBoost,0.0277810709345979
MIMIC-IV temporal,0.79,Treat all,-2.2088520055325
MIMIC-IV temporal,0.79,Treat none,0
MIMIC-IV temporal,0.8,XGBoost,0.0215767634854771
MIMIC-IV temporal,0.8,Treat all,-2.36929460580913
MIMIC-IV temporal,0.8,Treat none,0
NWICU,0.05,XGBoost,0.220379341489449
NWICU,0.05,Treat all,0.216684456851958
NWICU,0.05,Treat none,0
NWICU,0.06,XGBoost,0.214027284495635
NWICU,0.06,Treat all,0.208351312775915
NWICU,0.06,Treat none,0
NWICU,0.07,XGBoost,0.208528341133645
NWICU,0.07,Treat all,0.199838961300387
NWICU,0.07,Treat none,0
NWICU,0.08,XGBoost,0.201790680322865
NWICU,0.08,Treat all,0.191141558705826
NWICU,0.08,Treat none,0
NWICU,0.09,XGBoost,0.195487819512781
NWICU,0.09,Treat all,0.182253004405891
NWICU,0.09,Treat none,0
NWICU,0.1,XGBoost,0.191714335240076
NWICU,0.1,Treat all,0.173166926677067
NWICU,0.1,Treat none,0
NWICU,0.11,XGBoost,0.186173289628214
NWICU,0.11,Treat all,0.163876667426248
NWICU,0.11,Treat none,0
NWICU,0.12,XGBoost,0.181038150616934
NWICU,0.12,Treat all,0.154375265919728
NWICU,0.12,Treat none,0
NWICU,0.13,XGBoost,0.177721591622286
NWICU,0.13,Treat all,0.144655441390069
NWICU,0.13,Treat none,0
NWICU,0.14,XGBoost,0.173094365635091
NWICU,0.14,Treat all,0.134709574429489
NWICU,0.14,Treat none,0
NWICU,0.15,XGBoost,0.16738551895017
NWICU,0.15,Treat all,0.124529687069836
NWICU,0.15,Treat none,0
NWICU,0.16,XGBoost,0.159572097169601
NWICU,0.16,Treat all,0.114107421439715
NWICU,0.16,Treat none,0
NWICU,0.17,XGBoost,0.156607710091536
NWICU,0.17,Treat all,0.103434016878747
NWICU,0.17,Treat none,0
NWICU,0.18,XGBoost,0.154255926334614
NWICU,0.18,Treat all,0.0925002853772688
NWICU,0.18,Treat none,0
NWICU,0.19,XGBoost,0.151499393309066
NWICU,0.19,Treat all,0.0812965851967412
NWICU,0.19,Treat none,0
